method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
soft_log_t3_c10,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
soft_log_t3_c10,ssp2-4.5,2030,0.8571428571428572,1.0,1.0069041298502477,1.0099846390168972,1.0295689417976899,1.0588993296999307,1.3333333333333333,2.0,0,0,0,0
soft_log_t3_c10,ssp2-4.5,2035,0.8571428571428572,1.0,1.014232282508379,1.0207674808720832,1.0714285714285714,1.1457438528845245,2.0,2.0,0,0,0,0
soft_log_t3_c10,ssp2-4.5,2040,0.8571428571428572,1.0,1.021978021978022,1.032258064516129,1.125,1.25,2.0,2.0,0,0,0,0
soft_log_t3_c10,ssp2-4.5,2045,0.8571428571428572,1.0,1.0299612966104945,1.0444444444444443,1.1822755667955034,1.3333333333333335,2.0,3.0,3,0,0,0
soft_log_t3_c10,ssp2-4.5,2050,0.5,1.0,1.0384615384615385,1.0562258093246302,1.25,1.4999999999999998,2.0,3.978646067752111,4,0,0,0
soft_log_t3_c10,ssp2-4.5,2055,0.4,1.0,1.0457668235623228,1.0667699936189847,1.2912607768979787,1.5,2.0,3.978646067752111,5,0,0,1
soft_log_t3_c10,ssp2-4.5,2060,0.3000804507807916,1.0,1.0524597292903837,1.0757743696647812,1.3333333333333333,1.562346738384964,2.0,4.859049620456828,8,0,0,1
soft_log_t3_c10,ssp2-4.5,2065,0.3000804507807916,1.0,1.0585194683104964,1.0839212389538444,1.3925441258397504,2.0,2.0,6.034706152456476,11,2,0,1
soft_log_t3_c10,ssp2-4.5,2070,0.3000804507807916,1.0,1.0653174445695806,1.0927941640149887,1.4811670648482522,2.0,2.206131004366358,7.504860973316588,14,4,0,1
soft_log_t3_c10,ssp2-4.5,2075,0.2058015616448848,1.0,1.0717638332831088,1.102623243695716,1.5,2.0,3.3378725513069383,9.498826087842431,19,8,0,1
soft_log_t3_c10,ssp2-4.5,2080,0.2058015616448848,1.0,1.078152513519752,1.1111111111111112,1.5366085107694598,2.0,4.1367292919230785,9.888970456936407,26,11,0,1
soft_log_t3_c10,ssp2-4.5,2085,0.2058015616448848,1.0,1.0839487429166619,1.118590291188722,1.6813821246578708,2.0,4.868527600178006,9.963052438014483,33,12,0,1
soft_log_t3_c10,ssp2-4.5,2090,0.2058015616448848,1.0,1.090909090909091,1.1284270868537412,1.8813845294364049,2.0,5.9626758710356595,9.982458930628406,36,16,0,1
soft_log_t3_c10,ssp2-4.5,2095,0.2058015616448848,1.0,1.098660015012903,1.138790552614676,2.0,2.0,6.796762828978995,9.989212911799111,41,17,0,1
soft_log_t3_c10,ssp2-4.5,2100,0.2058015616448848,1.0,1.1059329072615522,1.146979698892038,2.0,2.0,7.342348560763305,9.992264906222061,43,19,0,1
soft_log_t3_c10,ssp5-8.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
soft_log_t3_c10,ssp5-8.5,2030,0.4,1.0,1.0140217767476518,1.0222197181083206,1.043718873213944,1.0769230769230769,1.5,2.0,0,0,0,1
