cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
248710,172,1030,47.0,-102.5,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248710_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
248715,172,1035,47.0,-101.25,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248715_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
248722,172,1042,47.0,-99.5,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_248722_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
250082,173,962,46.75,-119.5,WA,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250082_WA_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
250127,173,1007,46.75,-108.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250127_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
250133,173,1013,46.75,-106.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250133_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
250134,173,1014,46.75,-106.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250134_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
250136,173,1016,46.75,-106.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250136_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
250137,173,1017,46.75,-105.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250137_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
250138,173,1018,46.75,-105.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250138_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
