cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
281778,195,978,41.25,-115.5,NV
281782,195,982,41.25,-114.5,NV
281783,195,983,41.25,-114.25,NV
281785,195,985,41.25,-113.75,UT
281786,195,986,41.25,-113.5,UT
281787,195,987,41.25,-113.25,UT
281789,195,989,41.25,-112.75,UT
281801,195,1001,41.25,-109.75,WY
281805,195,1005,41.25,-108.75,WY
281807,195,1007,41.25,-108.25,WY
281821,195,1021,41.25,-104.75,WY
281824,195,1024,41.25,-104.0,NE
281830,195,1030,41.25,-102.5,NE
281834,195,1034,41.25,-101.5,NE
281835,195,1035,41.25,-101.25,NE
281858,195,1058,41.25,-95.5,IA
281861,195,1061,41.25,-94.75,IA
281862,195,1062,41.25,-94.5,IA
281932,195,1132,41.25,-77.0,PA
283203,196,963,41.0,-119.25,NV
283204,196,964,41.0,-119.0,NV
283205,196,965,41.0,-118.75,NV
283206,196,966,41.0,-118.5,NV
283207,196,967,41.0,-118.25,NV
283208,196,968,41.0,-118.0,NV
283212,196,972,41.0,-117.0,NV
283213,196,973,41.0,-116.75,NV
283214,196,974,41.0,-116.5,NV
283221,196,981,41.0,-114.75,NV
283225,196,985,41.0,-113.75,UT
283226,196,986,41.0,-113.5,UT
283230,196,990,41.0,-112.5,UT
283259,196,1019,41.0,-105.25,WY
283260,196,1020,41.0,-105.0,CO
283262,196,1022,41.0,-104.5,CO
283264,196,1024,41.0,-104.0,CO
283266,196,1026,41.0,-103.5,CO
283268,196,1028,41.0,-103.0,CO
283269,196,1029,41.0,-102.75,CO
283270,196,1030,41.0,-102.5,CO
283284,196,1044,41.0,-99.0,NE
283321,196,1081,41.0,-89.75,IL
283336,196,1096,41.0,-86.0,IN
283340,196,1100,41.0,-85.0,IN
283345,196,1105,41.0,-83.75,OH
283346,196,1106,41.0,-83.5,OH
284643,197,963,40.75,-119.25,NV
284644,197,964,40.75,-119.0,NV
284645,197,965,40.75,-118.75,NV
284646,197,966,40.75,-118.5,NV
284647,197,967,40.75,-118.25,NV
284648,197,968,40.75,-118.0,NV
284650,197,970,40.75,-117.5,NV
284651,197,971,40.75,-117.25,NV
284662,197,982,40.75,-114.5,NV
284664,197,984,40.75,-114.0,UT
284665,197,985,40.75,-113.75,UT
284666,197,986,40.75,-113.5,UT
284670,197,990,40.75,-112.5,UT
284671,197,991,40.75,-112.25,UT
284686,197,1006,40.75,-108.5,CO
284688,197,1008,40.75,-108.0,CO
284701,197,1021,40.75,-104.75,CO
284702,197,1022,40.75,-104.5,CO
284703,197,1023,40.75,-104.25,CO
284704,197,1024,40.75,-104.0,CO
284705,197,1025,40.75,-103.75,CO
284706,197,1026,40.75,-103.5,CO
284712,197,1032,40.75,-102.0,NE
284749,197,1069,40.75,-92.75,IA
284780,197,1100,40.75,-85.0,IN
284782,197,1102,40.75,-84.5,OH
284783,197,1103,40.75,-84.25,OH
284785,197,1105,40.75,-83.75,OH
284786,197,1106,40.75,-83.5,OH
284826,197,1146,40.75,-73.5,NY
284827,197,1147,40.75,-73.25,NY
286081,198,961,40.5,-119.75,NV
286084,198,964,40.5,-119.0,NV
286086,198,966,40.5,-118.5,NV
286088,198,968,40.5,-118.0,NV
286091,198,971,40.5,-117.25,NV
286092,198,972,40.5,-117.0,NV
286100,198,980,40.5,-115.0,NV
286105,198,985,40.5,-113.75,UT
286106,198,986,40.5,-113.5,UT
286107,198,987,40.5,-113.25,UT
286144,198,1024,40.5,-104.0,CO
286145,198,1025,40.5,-103.75,CO
286198,198,1078,40.5,-90.5,IL
286222,198,1102,40.5,-84.5,OH
286223,198,1103,40.5,-84.25,OH
286224,198,1104,40.5,-84.0,OH
286225,198,1105,40.5,-83.75,OH
287520,199,960,40.25,-120.0,CA
287528,199,968,40.25,-118.0,NV
287529,199,969,40.25,-117.75,NV
287533,199,973,40.25,-116.75,NV
287535,199,975,40.25,-116.25,NV
287545,199,985,40.25,-113.75,UT
287546,199,986,40.25,-113.5,UT
287547,199,987,40.25,-113.25,UT
287551,199,991,40.25,-112.25,UT
287552,199,992,40.25,-112.0,UT
287553,199,993,40.25,-111.75,UT
287566,199,1006,40.25,-108.5,CO
287583,199,1023,40.25,-104.25,CO
287586,199,1026,40.25,-103.5,CO
287587,199,1027,40.25,-103.25,CO
287588,199,1028,40.25,-103.0,CO
287636,199,1076,40.25,-91.0,IL
287652,199,1092,40.25,-87.0,IN
287655,199,1095,40.25,-86.25,IN
287662,199,1102,40.25,-84.5,OH
287664,199,1104,40.25,-84.0,OH
287669,199,1109,40.25,-82.75,OH
288964,200,964,40.0,-119.0,NV
288965,200,965,40.0,-118.75,NV
288967,200,967,40.0,-118.25,NV
288971,200,971,40.0,-117.25,NV
288972,200,972,40.0,-117.0,NV
288975,200,975,40.0,-116.25,NV
288983,200,983,40.0,-114.25,NV
288985,200,985,40.0,-113.75,UT
288986,200,986,40.0,-113.5,UT
288987,200,987,40.0,-113.25,UT
289000,200,1000,40.0,-110.0,UT
289002,200,1002,40.0,-109.5,UT
289003,200,1003,40.0,-109.25,UT
289025,200,1025,40.0,-103.75,CO
289027,200,1027,40.0,-103.25,CO
289036,200,1036,40.0,-101.0,KS
289085,200,1085,40.0,-88.75,IL
289096,200,1096,40.0,-86.0,IN
290404,201,964,39.75,-119.0,NV
290405,201,965,39.75,-118.75,NV
290406,201,966,39.75,-118.5,NV
290414,201,974,39.75,-116.5,NV
290421,201,981,39.75,-114.75,NV
290427,201,987,39.75,-113.25,UT
290428,201,988,39.75,-113.0,UT
290430,201,990,39.75,-112.5,UT
290440,201,1000,39.75,-110.0,UT
290441,201,1001,39.75,-109.75,UT
290442,201,1002,39.75,-109.5,UT
290462,201,1022,39.75,-104.5,CO
290465,201,1025,39.75,-103.75,CO
290467,201,1027,39.75,-103.25,CO
290469,201,1029,39.75,-102.75,CO
290535,201,1095,39.75,-86.25,IN
290542,201,1102,39.75,-84.5,OH
290543,201,1103,39.75,-84.25,OH
290545,201,1105,39.75,-83.75,OH
290546,201,1106,39.75,-83.5,OH
290569,201,1129,39.75,-77.75,PA
290575,201,1135,39.75,-76.25,PA
291850,202,970,39.5,-117.5,NV
291858,202,978,39.5,-115.5,NV
291861,202,981,39.5,-114.75,NV
